source,target,weight,src_ts,dst_ts,is_older_to_newer,is_newer_to_older
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_carefully_f0e9c8,0.9245478075630815,150008.49,150631.24,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_connection_00bcd9,0.9209292607594721,150008.49,150673.92,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_bounded_121050,0.924543559718336,150008.49,150694.61,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_bounded_82a4dc,0.924546395811535,150008.49,150716.14,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_asymmetry_ffab3e,0.9245448274872266,150008.49,150762.86,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_autonomy_a3a02c,0.9245132741075988,150008.49,150786.3,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_autonomy_581819,0.9245535384117365,150008.49,150810.27,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_appears_attention_ee4c6d,0.9245495152058776,150008.49,150850.71,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_constraint_equilibrium_969c70,0.9199941083211467,150008.49,150851.05,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_anticipation_138cb7,0.9245428098627793,150008.49,150870.37,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_anticipation_33cf9b,0.9182572390380341,150008.49,150870.71,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_autonomy_bounded_ab8b66,0.9245437677689361,150008.49,150888.83,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_appears_attention_9eb2a3,0.9245437677689361,150008.49,150889.17,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_appears_asymmetry_0715f8,0.9245355571447342,150008.49,150909.77,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_asymmetry_concept_910e9d,0.9245355571447342,150008.49,150910.11,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_ambiguity_analogy_26bc0c,0.924521872771064,150008.49,150931.9,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_ambiguity_carefully_8c737f,0.9245238276815884,150008.49,150952.06,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_ambiguity_appears_34a752,0.924507071305666,150008.49,150973.57,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_analogy_anticipation_a29d2b,0.9241747613057238,150008.49,151016.21,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_bounded_carefully_f79645,0.9245796121172911,150008.49,151040.38,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_carefully_coherence_19463a,0.9245796121172911,150008.49,151040.72,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_connection_contradiction_9a8d3a,0.924509822963095,150008.49,151064.14,True,False
Emergent_anticipation_attention_2ce2b8,Emergent_bounded_clarity_ae2623,0.9239332274225731,150008.49,151088.5,True,False
